,FITIN,FRIEND1,FRIEND2,FRIEND5,DEVICEA,DEVICEC,INTREQ,SNS1_1,SNS1_2,SNS1_3,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,SNS2,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,CELL1_1,OH1A,OH1B,OH1C,OH1D,OH3_1,OH3_2,OH3_3,OH3_4,OH3_5,OH3_6,OH3_7,GENDER,AGE
0,77,3,1,2,2,1,5,0,0,0,0,0,1,0,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,2,77,3,3,0,1,0,0,1,0,0,1,14
1,2,2,1,2,1,1,1,0,1,0,0,1,1,0,0,0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,1,2,1,1,1,1,1,0,0,1,15
2,2,2,1,3,1,1,2,0,0,0,0,0,0,0,0,1,,,,,,,,,,0.0,1,1,1,1,0,0,0,0,0,0,1,2,13
3,1,4,3,2,1,1,1,0,1,1,1,1,1,0,1,0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,1,1,1,0,0,0,0,0,0,1,17
4,2,4,4,2,2,1,2,0,0,1,1,0,1,0,0,0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,1,2,15
5,2,2,1,2,1,1,2,0,1,0,0,1,1,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2,1,0,0,0,0,0,0,1,2,13
6,2,1,1,2,1,1,1,1,0,0,0,1,1,0,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1,3,1,1,1,0,1,0,0,0,0,2,17
7,98,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1,2,3,1,1,1,0,1,1,0,2,17
8,1,4,3,2,2,1,5,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1,1,2,2,0,0,0,0,0,0,1,1,14
9,1,4,3,1,1,1,1,1,1,0,0,1,1,1,0,0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1,1,0,1,1,0,2,13
10,2,4,1,2,1,1,1,0,1,1,1,1,1,0,0,0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,2,1,2,1,0,1,0,0,0,0,2,13
11,1,3,1,2,1,1,3,0,1,0,0,1,1,0,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,1,0,0,0,0,0,0,1,1,15
12,2,2,1,2,1,2,1,1,1,0,0,1,1,1,0,0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,3,2,1,1,0,1,0,1,1,0,2,15
13,2,2,1,3,1,1,1,0,1,1,1,1,1,0,0,0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,1,2,1,1,1,1,1,1,0,2,14
14,2,3,2,3,1,1,2,0,1,1,1,0,1,0,0,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,1,0,0,0,0,0,0,1,2,17
15,1,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0,0,0,1,1,16
16,1,1,2,2,1,1,2,0,0,0,0,0,1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,3,2,2,0,0,0,0,0,0,1,1,16
17,1,2,1,2,1,1,1,0,1,1,1,1,1,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,0,0,0,0,1,0,0,1,14
18,1,1,1,4,1,1,2,1,1,0,0,1,0,0,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,2,0,1,1,0,0,0,0,1,15
19,1,2,2,3,1,1,2,1,1,0,0,1,1,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,0,0,0,0,0,1,0,1,15
20,2,1,1,2,1,1,2,0,1,0,0,1,1,0,0,0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,1,1,0,0,0,0,0,0,1,1,13
21,2,3,3,3,1,1,1,0,0,0,0,1,0,0,1,0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,2,2,0,1,0,0,1,0,0,1,16
22,1,1,1,2,1,1,1,0,1,0,0,1,1,0,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,0,0,0,0,0,0,1,1,15
23,1,4,4,2,2,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1,2,2,3,0,0,1,0,0,0,0,1,14
24,1,2,1,4,1,2,2,0,0,0,0,0,1,0,0,0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,2,0,0,0,0,0,0,1,2,13
25,2,4,3,2,1,1,2,0,1,1,1,0,1,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,2,0,0,0,0,0,0,1,1,15
26,2,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,0,2,14
27,1,3,1,3,1,1,1,0,1,1,1,1,1,0,0,0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,1,2,1,0,0,0,1,1,0,1,17
28,1,2,4,2,1,1,3,0,0,0,0,0,1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,2,2,1,0,1,1,1,1,0,2,16
29,1,4,4,1,1,1,1,0,0,0,0,1,1,0,0,0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,2,0,0,0,0,0,0,1,1,17
30,1,1,3,2,1,1,2,0,0,0,0,1,1,0,0,0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,2,2,1,0,0,0,0,0,0,2,13
31,1,4,4,2,1,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,0.0,2,1,1,1,0,0,0,0,0,0,1,2,13
32,1,4,2,3,1,1,1,0,1,1,1,1,1,0,0,0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,0,0,0,0,0,0,1,2,14
33,2,2,1,3,1,1,2,1,1,0,0,1,1,0,1,0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,0,0,1,0,0,0,0,1,16
34,2,3,1,2,1,1,2,0,1,0,0,1,1,0,0,0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,2,2,0,0,0,0,0,0,1,2,15
35,1,4,1,3,1,1,1,1,1,1,1,1,1,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,1,2,0,0,0,0,1,0,0,1,15
36,2,1,1,2,1,1,2,0,1,1,1,1,1,0,0,0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2,3,2,1,0,1,0,0,0,0,2,14
37,1,2,1,3,1,1,1,0,1,0,0,1,1,0,0,0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,2,0,0,0,0,0,0,1,2,15
38,1,4,1,2,1,1,1,0,1,1,1,1,1,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,1,0,1,1,0,0,0,0,1,13
39,2,3,1,2,1,1,1,0,0,1,1,0,1,1,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,2,0,0,0,0,0,0,1,2,15
40,2,4,1,2,1,1,1,1,1,0,0,1,1,0,0,0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,2,1,0,0,0,0,0,0,1,13
41,1,4,4,2,1,1,1,0,1,0,0,1,1,0,0,0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,2,17
42,2,2,1,3,1,1,2,1,1,1,1,1,1,0,0,0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1,2,2,1,1,0,1,0,1,0,0,2,13
43,2,2,1,2,1,1,2,0,1,0,0,1,1,0,0,0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,1,1,1,0,1,0,0,1,17
44,2,1,1,4,1,1,2,0,1,0,0,1,0,0,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,2,0,0,0,0,0,0,1,2,14
45,2,4,4,2,1,1,2,0,1,1,1,1,1,0,0,0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,2,2,1,1,1,0,1,1,0,2,17
46,1,1,2,2,1,1,1,0,0,1,1,0,1,0,0,0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,3,2,2,1,0,1,0,0,1,0,2,13
47,2,3,1,2,1,1,3,0,1,1,1,1,1,0,0,0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,1,1,0,0,0,0,0,0,1,2,17
48,1,2,2,3,2,1,2,1,1,1,1,1,1,0,0,0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,2,3,0,0,1,0,0,1,0,1,13
49,1,3,1,2,1,2,1,1,1,1,1,1,1,0,0,0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,1,1,1,0,1,0,0,1,0,1,17
50,1,1,4,2,1,2,3,0,1,1,1,1,1,0,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1,2,3,0,0,0,0,0,0,1,2,17
51,1,4,3,2,1,1,2,0,0,0,0,0,1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,3,3,2,1,0,0,0,0,1,0,2,14
52,2,3,1,2,1,1,1,1,1,1,1,1,1,1,0,0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,0,0,0,0,1,1,0,2,16
53,1,3,1,2,1,1,1,0,1,0,0,0,1,0,0,0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,1,1,0,0,0,0,0,0,1,2,14
54,2,2,2,2,1,1,2,0,1,0,0,1,1,0,0,0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,2,2,1,1,0,0,0,0,0,1,13
55,1,2,2,4,1,1,2,1,1,0,0,1,1,0,0,0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2,2,2,1,0,0,0,0,0,0,1,2,17
56,1,4,1,2,1,1,1,1,1,0,0,1,1,1,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,1,1,0,0,0,0,0,0,1,1,13
57,2,3,1,3,1,1,1,0,1,0,0,1,1,0,1,0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,1,2,0,0,0,0,0,0,1,1,16
58,1,2,1,2,1,1,1,0,1,0,0,1,1,0,0,0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,0,0,1,0,1,1,0,1,17
59,2,3,2,2,1,1,1,0,1,1,1,1,1,0,0,0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,2,1,1,1,0,0,0,0,1,0,2,17
60,2,1,1,2,1,2,1,1,1,1,1,1,1,0,0,0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,2,2,2,1,0,1,0,1,0,0,2,15
